Mix,Chronic,gameover step,rho,line
l2rpn_neurips_2020_track2_x3,Scenario_april_05,424,1.7204303,158
l2rpn_neurips_2020_track2_x3,Scenario_april_16,493,1.0321349,32
l2rpn_neurips_2020_track2_x3,Scenario_april_21,121,2.4442258,29
l2rpn_neurips_2020_track2_x3,Scenario_april_30,78,1.0224297,37
l2rpn_neurips_2020_track2_x3,Scenario_april_32,133,2.4530413,29
l2rpn_neurips_2020_track2_x3,Scenario_april_42,495,1.7171744,146
l2rpn_neurips_2020_track2_x3,Scenario_april_43,132,2.8397832,48
l2rpn_neurips_2020_track2_x3,Scenario_april_45,427,1.4161862,14
l2rpn_neurips_2020_track2_x3,Scenario_april_47,1555,3.0308876,28
l2rpn_neurips_2020_track2_x3,Scenario_august_03,1279,2.0719824,38
l2rpn_neurips_2020_track2_x3,Scenario_august_05,120,1.7683411,158
l2rpn_neurips_2020_track2_x3,Scenario_august_16,114,4.9567423,14
l2rpn_neurips_2020_track2_x3,Scenario_august_21,126,2.0121276,125
l2rpn_neurips_2020_track2_x3,Scenario_august_30,405,1.4002857,14
l2rpn_neurips_2020_track2_x3,Scenario_august_32,127,1.7004333,158
l2rpn_neurips_2020_track2_x3,Scenario_august_42,687,1.0737387,133
l2rpn_neurips_2020_track2_x3,Scenario_august_43,146,1.3525623,14
l2rpn_neurips_2020_track2_x3,Scenario_august_45,437,1.3249385,14
l2rpn_neurips_2020_track2_x3,Scenario_august_47,1293,2.6935134,158
l2rpn_neurips_2020_track2_x3,Scenario_december_03,4,1.6889633,106
l2rpn_neurips_2020_track2_x3,Scenario_december_05,7,1.856101,167
l2rpn_neurips_2020_track2_x3,Scenario_december_16,7,1.2291279,65
l2rpn_neurips_2020_track2_x3,Scenario_december_21,678,1.0182378,83
l2rpn_neurips_2020_track2_x3,Scenario_december_30,701,1.7096558,127
l2rpn_neurips_2020_track2_x3,Scenario_december_32,146,2.6903493,125
l2rpn_neurips_2020_track2_x3,Scenario_december_42,7,1.0688568,78
l2rpn_neurips_2020_track2_x3,Scenario_december_43,29,1.2226683,65
l2rpn_neurips_2020_track2_x3,Scenario_december_45,7,1.3774903,65
l2rpn_neurips_2020_track2_x3,Scenario_december_47,710,3.2429945,125
l2rpn_neurips_2020_track2_x3,Scenario_february_03,683,1.0020653,83
l2rpn_neurips_2020_track2_x3,Scenario_february_05,136,2.8609838,125
l2rpn_neurips_2020_track2_x3,Scenario_february_16,414,3.0680017,125
l2rpn_neurips_2020_track2_x3,Scenario_february_21,521,1.2662557,65
l2rpn_neurips_2020_track2_x3,Scenario_february_30,149,1.3944447,37
l2rpn_neurips_2020_track2_x3,Scenario_february_32,136,2.9395168,125
l2rpn_neurips_2020_track2_x3,Scenario_february_42,143,2.9744878,125
l2rpn_neurips_2020_track2_x3,Scenario_february_43,146,2.9321885,125
l2rpn_neurips_2020_track2_x3,Scenario_february_45,7,1.4563512,65
l2rpn_neurips_2020_track2_x3,Scenario_february_47,7,1.4769975,78
l2rpn_neurips_2020_track2_x3,Scenario_january_03,796,1.1224447,65
l2rpn_neurips_2020_track2_x3,Scenario_january_05,516,1.0934718,127
l2rpn_neurips_2020_track2_x3,Scenario_january_16,1004,1.5777016,99
l2rpn_neurips_2020_track2_x3,Scenario_january_21,431,1.649276,127
l2rpn_neurips_2020_track2_x3,Scenario_january_30,4,1.403454,43
l2rpn_neurips_2020_track2_x3,Scenario_january_32,216,1.1292499,146
l2rpn_neurips_2020_track2_x3,Scenario_january_42,87,1.2255054,48
l2rpn_neurips_2020_track2_x3,Scenario_january_43,500,1.1903504,127
l2rpn_neurips_2020_track2_x3,Scenario_january_45,1008,1.7031568,127
l2rpn_neurips_2020_track2_x3,Scenario_january_47,427,3.31378,125
l2rpn_neurips_2020_track2_x3,Scenario_july_03,73,1.466219,56
l2rpn_neurips_2020_track2_x3,Scenario_july_05,56,1.7164875,28
l2rpn_neurips_2020_track2_x3,Scenario_july_16,56,1.469056,56
l2rpn_neurips_2020_track2_x3,Scenario_july_21,59,1.69071,28
l2rpn_neurips_2020_track2_x3,Scenario_july_30,68,1.4460461,56
l2rpn_neurips_2020_track2_x3,Scenario_july_32,59,1.749292,28
l2rpn_neurips_2020_track2_x3,Scenario_july_42,120,3.2567847,158
l2rpn_neurips_2020_track2_x3,Scenario_july_43,57,1.4743502,56
l2rpn_neurips_2020_track2_x3,Scenario_july_45,48,1.3967034,56
l2rpn_neurips_2020_track2_x3,Scenario_july_47,82,1.5889081,56
l2rpn_neurips_2020_track2_x3,Scenario_june_03,368,2.1140296,29
l2rpn_neurips_2020_track2_x3,Scenario_june_05,441,3.0676377,158
l2rpn_neurips_2020_track2_x3,Scenario_june_16,418,2.4096286,29
l2rpn_neurips_2020_track2_x3,Scenario_june_21,414,2.4053555,29
l2rpn_neurips_2020_track2_x3,Scenario_june_30,135,1.748318,158
l2rpn_neurips_2020_track2_x3,Scenario_june_32,399,1.4506185,48
l2rpn_neurips_2020_track2_x3,Scenario_june_42,416,1.347754,48
l2rpn_neurips_2020_track2_x3,Scenario_june_43,121,2.8571541,48
l2rpn_neurips_2020_track2_x3,Scenario_june_45,129,1.346328,159
l2rpn_neurips_2020_track2_x3,Scenario_june_47,150,1.6410357,158
l2rpn_neurips_2020_track2_x3,Scenario_march_03,334,1.7426099,101
l2rpn_neurips_2020_track2_x3,Scenario_march_05,419,2.7643955,125
l2rpn_neurips_2020_track2_x3,Scenario_march_16,2016,0.84808254,37
l2rpn_neurips_2020_track2_x3,Scenario_march_21,1584,2.7045763,125
l2rpn_neurips_2020_track2_x3,Scenario_march_30,2016,0.839236,95
l2rpn_neurips_2020_track2_x3,Scenario_march_32,1163,1.8203224,101
l2rpn_neurips_2020_track2_x3,Scenario_march_42,2016,0.7931403,156
l2rpn_neurips_2020_track2_x3,Scenario_march_43,4,1.0067903,73
l2rpn_neurips_2020_track2_x3,Scenario_march_45,2016,0.7832995,83
l2rpn_neurips_2020_track2_x3,Scenario_march_47,516,1.0000558,73
l2rpn_neurips_2020_track2_x3,Scenario_may_03,1571,2.4782171,29
l2rpn_neurips_2020_track2_x3,Scenario_may_05,1072,1.5542288,146
l2rpn_neurips_2020_track2_x3,Scenario_may_16,698,1.2878387,48
l2rpn_neurips_2020_track2_x3,Scenario_may_21,1079,1.8409326,146
l2rpn_neurips_2020_track2_x3,Scenario_may_30,140,1.7390374,158
l2rpn_neurips_2020_track2_x3,Scenario_may_32,1281,2.9725752,48
l2rpn_neurips_2020_track2_x3,Scenario_may_42,711,2.4742675,158
l2rpn_neurips_2020_track2_x3,Scenario_may_43,429,2.4034297,158
l2rpn_neurips_2020_track2_x3,Scenario_may_45,413,2.2982793,158
l2rpn_neurips_2020_track2_x3,Scenario_may_47,119,2.8513927,48
l2rpn_neurips_2020_track2_x3,Scenario_november_03,333,1.3670532,56
l2rpn_neurips_2020_track2_x3,Scenario_november_05,437,1.1758131,65
l2rpn_neurips_2020_track2_x3,Scenario_november_16,4,1.3928188,125
l2rpn_neurips_2020_track2_x3,Scenario_november_21,339,1.1224449,65
l2rpn_neurips_2020_track2_x3,Scenario_november_30,95,1.0358263,83
l2rpn_neurips_2020_track2_x3,Scenario_november_32,7,1.2728261,78
l2rpn_neurips_2020_track2_x3,Scenario_november_42,4,1.9285359,43
l2rpn_neurips_2020_track2_x3,Scenario_november_43,476,1.042559,125
l2rpn_neurips_2020_track2_x3,Scenario_november_45,10,1.2830539,167
l2rpn_neurips_2020_track2_x3,Scenario_november_47,124,3.1515198,125
l2rpn_neurips_2020_track2_x3,Scenario_october_03,40,1.0181751,73
l2rpn_neurips_2020_track2_x3,Scenario_october_05,248,2.3409293,128
l2rpn_neurips_2020_track2_x3,Scenario_october_16,107,2.7811065,125
l2rpn_neurips_2020_track2_x3,Scenario_october_21,117,2.841329,125
l2rpn_neurips_2020_track2_x3,Scenario_october_30,402,2.871099,125
l2rpn_neurips_2020_track2_x3,Scenario_october_32,13,1.9736146,166
l2rpn_neurips_2020_track2_x3,Scenario_october_42,4,1.8622183,106
l2rpn_neurips_2020_track2_x3,Scenario_october_43,136,1.6982628,101
l2rpn_neurips_2020_track2_x3,Scenario_october_45,107,1.0471472,12
l2rpn_neurips_2020_track2_x3,Scenario_october_47,1511,1.7343907,101
l2rpn_neurips_2020_track2_x3,Scenario_september_03,707,1.4413134,14
l2rpn_neurips_2020_track2_x3,Scenario_september_05,131,1.9270637,158
l2rpn_neurips_2020_track2_x3,Scenario_september_16,1061,1.5042237,146
l2rpn_neurips_2020_track2_x3,Scenario_september_21,425,1.9422007,125
l2rpn_neurips_2020_track2_x3,Scenario_september_30,719,2.6619906,125
l2rpn_neurips_2020_track2_x3,Scenario_september_32,141,1.7693998,158
l2rpn_neurips_2020_track2_x3,Scenario_september_42,699,1.2987733,14
l2rpn_neurips_2020_track2_x3,Scenario_september_43,778,1.4965379,148
l2rpn_neurips_2020_track2_x3,Scenario_september_45,422,1.7388431,158
l2rpn_neurips_2020_track2_x3,Scenario_september_47,145,1.7876368,158
l2rpn_neurips_2020_track2_x3,Scenario_april_03,992,1.3288785,14
